reviewId,userName,userImage,content,ManualLabelling,score,thumbsUpCount,reviewCreatedVersion,date,replyContent,repliedAt,appVersion,year
792af351-0d46-4547-92b4-eaa292ac435f,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"Tolong di bantu permasalahan nya min, Pas klik tampilkan semua postingan dalam profil saya, ada muncul 4 bar di atas POSTING, KOMENTAR, GAMBAR, REAKSI, ke tiga nya saya klik muncul posting, komentar, gambar itu muncul, kecuali pas saya klik reaksi kok ga muncul min, trs ada notif tertulis HASIL TIDAK DITEMUKAN (kami sedang mengalami gangguan. Sepertinya terjadi kesalahan) COBA LAGI. itu kndala yg saya alami min mohon dibantu, dari segi internet sya bagus kok lancar, buka aplikasi lain lancar.",0,4,47,4.1.966,2024-08-03,,,4.1.966,2024
1aada824-c4a1-4fe6-bb7d-5bbef12f05bd,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"Gua udah punya akun 2 kali dan tiba2 ilang semua suruh login lagi, udah di coba kaga bisa2 semakin di update semakin kaga jelas dan tiba2 waktu bisa beberapa waktu lalu akun gua bahasa Mandarin semua-_ gua ngga tau lagi lah jadi takut data gua diambil nih",0,1,18,4.1.969,2024-08-19,,,4.1.969,2024
62aeacec-a5f2-4452-b9f3-8bb48e05dd74,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"Saya tidak login sekitar 1 bulan lebih, dan ketika saya mau login harus verifikasi terlebih dahulu. Setelah saya memasukkan password untuk verifikasi email, email dari linkedin tidak ada. Jadi bagaimana caranya saya masuk sementara email dari linkedin tidak dikirim?",0,2,15,4.1.972.1,2024-08-16,,,4.1.972.1,2024
a9c219b3-d68e-4aa3-afc4-8b562a790264,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"Sesuai arahan banyak info loker disini, dan untungnya belum pernah ada trouble untuk interviewnya, cara masuk ke linknya juga lumayan mudah, kecuali saat menunggu info pemberitahuan sangat lama.",1,5,36,4.1.974,2024-08-26,,,4.1.974,2024
62d44d7d-0b21-41c8-8a24-6aff661f794b,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"Suruh verifikasi dengan gambar yang tak jelas,, kenapa tidak menggunakan kode verifikasi aja langsung.. aneh... Ini mah bukan hanya orang lain yang sulit masuk, pemilik akunnya aja kesulitan... Sama aja dengan nyuruh buang akun..",0,1,122,4.1.966,2024-08-04,,,4.1.966,2024
afaee59e-21d5-46b1-867a-c218f8cb588f,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"Menyusahkan. Perkara lupa nulis password, akun baru bikin kena suspend. Opsi login pakai akun google juga tidak bisa. Ketika mau ganti password prosesnya ribet pakai KTP, walau sudah dijalani masih saja tidak bisa reset password. RIP akun universitas, bagus ! Tugas saya tersendat.",0,1,81,4.1.965,2024-07-31,,,4.1.965,2024
1d22832d-b4e0-4da9-a41e-7dedb9057e35,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"Aplikasi ga jeelassss,.makin lama makin ngebug,.masa mau login suruh verifikasi bagian keamanan,.sudah jelass gambar pilihanya benar,..tetep salah tidak bisa masuk",0,1,149,4.1.952,2024-06-25,,,4.1.952,2024
06a850fb-d1b2-4657-878a-7709daf7fdf0,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"aplikasi yang top untuk melihat jaringan karier yg lebih luas! appsnya juga semakin bagus, tampilannya oke, ngga ada bug. semoga ada peningkatan di aplikasinya 👍🏻",1,5,295,4.1.958.1,2024-07-18,,,4.1.958.1,2024
f1c6d4dc-910f-4ede-bfe4-3226d1874037,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"Aplikasi LinkedIn logout sendiri dan meminta verifikasi wajah (data privasi rekam wajah). Apa tujuan dari rekam wajah semua sisi, apakah aman perekaman wajah padahal LinkedIn bukan aplikasi perbankan??",0,1,117,4.1.961,2024-07-19,,,4.1.961,2024
2f315315-024b-486c-8570-94fa8a94db93,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"Verivikasi kenapa ngga pakai nomor telfon atau email yang tertaut,jadinya susah masuk disuruh nebak gambar hadap atas tapi gambar apapun yang dipilih semuanya bener dan hanya gambar terakhir yang selalu salah meskipun udah bener jawabannya itu.tolong diperbaiki untuk memberi kemudahan akses,bukan mempersulit!!!",0,1,188,4.1.947,2024-08-14,,,4.1.947,2024
